"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 12:57:25 IST 2019","Mon Aug 19 12:57:27 IST 2019","2170","Demo Suite","Chrome Test","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","tc_loginFlipkart","Verify user successfully logged in",""
"passed","Mon Aug 19 12:57:42 IST 2019","Mon Aug 19 12:57:47 IST 2019","4945","Demo Suite","Chrome Test","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","tc_checkOutCart","Verify user navigates to payment options then logout",""
"passed","Mon Aug 19 12:57:51 IST 2019","Mon Aug 19 12:57:55 IST 2019","3971","Demo Suite","Chrome Test","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","tc_removeItem","Remove the added product from cart",""
"passed","Mon Aug 19 12:57:31 IST 2019","Mon Aug 19 12:57:38 IST 2019","6970","Demo Suite","Chrome Test","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","com.wipro.telstra.testcases.FlipkartHomePageTestsCases","tc_buyCamera","Verify user selects camera and  add to cart",""
